match_id,season,city,date,team1_id,team2_id,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,player_of_match_id,venue,venue_id,umpire1,umpire2
2014_10,2014,,23-04-2014,CSK,RR,RR,field,normal,0,CSK,7,0,Ravindra Jadeja,177,Dubai International Cricket Stadium,31,HDPK Dharmasena,RK Illingworth
2014_11,2014,Sharjah,24-04-2014,KKR,RCB,RCB,field,normal,0,KKR,2,0,Chris Lynn,343,Sharjah Cricket Stadium,30,Aleem Dar,VA Kulkarni
2014_12,2014,,25-04-2014,SRH,DD,SRH,bat,normal,0,SRH,4,0,Aaron Finch,322,Dubai International Cricket Stadium,31,M Erasmus,S Ravi
2014_13,2014,,25-04-2014,MI,CSK,MI,bat,normal,0,CSK,0,7,Mohit Sharma,469,Dubai International Cricket Stadium,31,BF Bowden,M Erasmus
2014_14,2014,Abu Dhabi,26-04-2014,RCB,RR,RR,field,normal,0,RR,0,6,Pravin Tambe,499,Sheikh Zayed Stadium,29,HDPK Dharmasena,C Shamshuddin
2014_15,2014,Abu Dhabi,26-04-2014,KXI,KKR,KKR,field,normal,0,KXI,23,0,Sandeep Sharma,479,Sheikh Zayed Stadium,29,HDPK Dharmasena,RK Illingworth
2014_16,2014,Sharjah,27-04-2014,MI,DD,MI,bat,normal,0,DD,0,6,Murali Vijay,189,Sharjah Cricket Stadium,30,Aleem Dar,VA Kulkarni
2014_17,2014,Sharjah,27-04-2014,SRH,CSK,SRH,bat,normal,0,CSK,0,5,Dwayne Smith,124,Sharjah Cricket Stadium,30,AK Chaudhary,VA Kulkarni
2014_18,2014,,28-04-2014,RCB,KXI,KXI,field,normal,0,KXI,0,5,Sandeep Sharma,479,Dubai International Cricket Stadium,31,BF Bowden,S Ravi
2014_19,2014,Abu Dhabi,29-04-2014,RR,KKR,RR,bat,tie,0,RR,0,0,James Faulkner,401,Sheikh Zayed Stadium,29,Aleem Dar,AK Chaudhary
2014_20,2014,,30-04-2014,SRH,MI,MI,field,normal,0,SRH,15,0,B Kumar,691,Dubai International Cricket Stadium,31,HDPK Dharmasena,M Erasmus
2014_21,2014,Ranchi,02-05-2014,CSK,KKR,CSK,bat,normal,0,CSK,34,0,Ravindra Jadeja,177,JSCA International Stadium Complex,28,AK Chaudhary,NJ Llong
2014_22,2014,Mumbai,03-05-2014,KXI,MI,KXI,bat,normal,0,MI,0,5,Corey Anderson,519,"Wankhede Stadium, Mumbai, Maharashtra",1,BNJ Oxenford,C Shamshuddin
2014_23,2014,Delhi,03-05-2014,DD,RR,RR,field,normal,0,RR,0,7,Karun Nair,458,"Feroz Shah Kotla Stadium, Delhi",2,SS Hazare,S Ravi
2014_24,2014,Bangalore,04-05-2014,SRH,RCB,RCB,field,normal,0,RCB,0,4,AB De Villiers,47,"M.Chinnaswamy Stadium Bengaluru, Karnataka",7,HDPK Dharmasena,VA Kulkarni
2014_25,2014,Ahmedabad,05-05-2014,RR,KKR,KKR,field,normal,0,RR,10,0,Pravin Tambe,499,"Sardar Patel Stadium, Motera",20,NJ Llong,CK Nandan
2014_26,2014,Delhi,05-05-2014,DD,CSK,CSK,field,normal,0,CSK,0,8,Dwayne Smith,124,"Feroz Shah Kotla Stadium, Delhi",2,RM Deshpande,BNJ Oxenford
2014_27,2014,Mumbai,06-05-2014,MI,RCB,RCB,field,normal,0,MI,19,0,Rohit Sharma,30,"Wankhede Stadium, Mumbai, Maharashtra",1,S Ravi,K Srinath
2014_28,2014,Delhi,07-05-2014,DD,KKR,DD,bat,normal,0,KKR,0,8,Gautam Gambhir,58,"Feroz Shah Kotla Stadium, Delhi",2,BNJ Oxenford,C Shamshuddin
2014_29,2014,Cuttack,07-05-2014,KXI,CSK,CSK,field,normal,0,KXI,44,0,Glenn Maxwell,429,Barabati Stadium,21,HDPK Dharmasena,PG Pathak
2014_30,2014,Ahmedabad,08-05-2014,SRH,RR,RR,field,normal,0,SRH,32,0,B Kumar,691,"Sardar Patel Stadium, Motera",20,AK Chaudhary,NJ Llong
2014_31,2014,Bangalore,09-05-2014,KXI,RCB,RCB,field,normal,0,KXI,32,0,Sandeep Sharma,479,"M.Chinnaswamy Stadium Bengaluru, Karnataka",7,S Ravi,K Srinath
2014_32,2014,Delhi,10-05-2014,DD,SRH,SRH,field,normal,1,SRH,0,8,Dale Steyn,152,"Feroz Shah Kotla Stadium, Delhi",2,RM Deshpande,BNJ Oxenford
2014_33,2014,Mumbai,10-05-2014,MI,CSK,CSK,field,normal,0,CSK,0,4,Dwayne Smith,124,"Wankhede Stadium, Mumbai, Maharashtra",1,HDPK Dharmasena,VA Kulkarni
2014_34,2014,Cuttack,11-05-2014,KXI,KKR,KKR,field,normal,0,KKR,0,9,Gautam Gambhir,58,Barabati Stadium,21,NJ Llong,CK Nandan
2014_35,2014,Bangalore,11-05-2014,RCB,RR,RCB,bat,normal,0,RR,0,5,James Faulkner,401,"M.Chinnaswamy Stadium Bengaluru, Karnataka",7,S Ravi,RJ Tucker
2014_36,2014,Hyderabad,12-05-2014,SRH,MI,SRH,bat,normal,0,MI,0,7,Ambati Rayudu,309,"Rajiv Gandhi International Stadium, Hyderabad",4,HDPK Dharmasena,VA Kulkarni
2014_37,2014,Ranchi,13-05-2014,RR,CSK,RR,bat,normal,0,CSK,0,5,Ravindra Jadeja,177,JSCA International Stadium Complex,28,BNJ Oxenford,C Shamshuddin
2014_38,2014,Bangalore,13-05-2014,RCB,DD,DD,field,normal,0,RCB,16,0,Yuvraj Singh,88,"M.Chinnaswamy Stadium Bengaluru, Karnataka",7,K Srinath,RJ Tucker
2014_39,2014,Hyderabad,14-05-2014,SRH,KXI,KXI,field,normal,0,KXI,0,6,Wriddhiman Saha,84,"Rajiv Gandhi International Stadium, Hyderabad",4,VA Kulkarni,PG Pathak
2014_40,2014,Cuttack,14-05-2014,MI,KKR,KKR,field,normal,0,KKR,0,6,Robin Uthappa,141,Barabati Stadium,21,AK Chaudhary,NJ Llong
2014_41,2014,Ahmedabad,15-05-2014,RR,DD,DD,field,normal,0,RR,62,0,Ajinkya Rahane,122,"Sardar Patel Stadium, Motera",20,S Ravi,RJ Tucker
2014_42,2014,Ranchi,18-05-2014,CSK,RCB,CSK,bat,normal,0,RCB,0,5,AB De Villiers,47,JSCA International Stadium Complex,28,BNJ Oxenford,C Shamshuddin
2014_43,2014,Hyderabad,18-05-2014,SRH,KKR,SRH,bat,normal,0,KKR,0,7,Umesh Yadav,208,"Rajiv Gandhi International Stadium, Hyderabad",4,NJ Llong,CK Nandan
2014_44,2014,Ahmedabad,19-05-2014,MI,RR,MI,bat,normal,0,MI,25,0,Michael Hussey,18,"Sardar Patel Stadium, Motera",20,S Ravi,RJ Tucker
2014_45,2014,Delhi,19-05-2014,DD,KXI,KXI,field,normal,0,KXI,0,4,Axar Patel,485,"Feroz Shah Kotla Stadium, Delhi",2,HDPK Dharmasena,PG Pathak
2014_46,2014,Hyderabad,20-05-2014,RCB,SRH,RCB,bat,normal,0,SRH,0,7,David Warner,207,"Rajiv Gandhi International Stadium, Hyderabad",4,AK Chaudhary,NJ Llong
2014_47,2014,Kolkata,20-05-2014,CSK,KKR,KKR,field,normal,0,KKR,0,8,Robin Uthappa,141,"Eden Garden Stadium, Kolkata, West Bengal",3,RM Deshpande,C Shamshuddin
2014_48,2014,Chandigarh,21-05-2014,KXI,MI,MI,field,normal,0,MI,0,7,Lendl Simmons,524,"I.S. Bindra Punjab Cricket Association Stadium, Mohali",9,HDPK Dharmasena,VA Kulkarni
2014_49,2014,Kolkata,22-05-2014,KKR,RCB,RCB,field,normal,0,KKR,30,0,Robin Uthappa,141,"Eden Garden Stadium, Kolkata, West Bengal",3,AK Chaudhary,CK Nandan
2014_50,2014,Ranchi,22-05-2014,CSK,SRH,SRH,field,normal,0,SRH,0,6,David Warner,207,JSCA International Stadium Complex,28,BNJ Oxenford,C Shamshuddin
2014_51,2014,Mumbai,23-05-2014,MI,DD,DD,field,normal,0,MI,15,0,Michael Hussey,18,"Wankhede Stadium, Mumbai, Maharashtra",1,S Ravi,RJ Tucker
2014_52,2014,Chandigarh,23-05-2014,KXI,RR,RR,field,normal,0,KXI,16,0,Shaun Marsh,106,"I.S. Bindra Punjab Cricket Association Stadium, Mohali",9,HDPK Dharmasena,PG Pathak
